rank,title,type,episodes,start_month,start_year,year,score,members
1,Shingeki no Kyojin,TV,25,Apr,2013,2013,8.57,4377353
2,Death Note,TV,37,Oct,2006,2006,8.62,4315052
3,Fullmetal Alchemist: Brotherhood,TV,64,Apr,2009,2009,9.11,3696180
4,One Punch Man,TV,12,Oct,2015,2015,8.47,3529881
5,Kimetsu no Yaiba,TV,26,Apr,2019,2019,8.40,3462681
6,Boku no Hero Academia,TV,13,Apr,2016,2016,7.82,3317219
7,Sword Art Online,TV,25,Jul,2012,2012,7.23,3308687
8,Hunter x Hunter (2011),TV,148,Oct,2011,2011,9.03,3201168
9,Naruto,TV,220,Oct,2002,2002,8.02,3127548
10,Tokyo Ghoul,TV,12,Jul,2014,2014,7.79,3065471
11,Jujutsu Kaisen,TV,24,Oct,2020,2020,8.50,3054661
12,Kimi no Na wa.,Movie,1,Aug,2016,2016,8.82,3037680
13,Shingeki no Kyojin Season 2,TV,12,Apr,2017,2017,8.54,3031262
14,Steins;Gate,TV,24,Apr,2011,2011,9.07,2822777
15,Naruto: Shippuuden,TV,500,Feb,2007,2007,8.29,2757905
16,Boku no Hero Academia 2nd Season,TV,25,Apr,2017,2017,8.05,2741739
17,One Piece,TV,,Oct,1999,1999,8.73,2692578
18,Shingeki no Kyojin Season 3,TV,12,Jul,2018,2018,8.65,2677349
19,Koe no Katachi,Movie,1,Sep,2016,2016,8.93,2627472
20,Shingeki no Kyojin Season 3 Part 2,TV,10,Apr,2019,2019,9.05,2604318
21,No Game No Life,TV,12,Apr,2014,2014,8.03,2564785
22,Code Geass: Hangyaku no Lelouch,TV,25,Oct,2006,2006,8.71,2482010
23,Re:Zero kara Hajimeru Isekai Seikatsu,TV,25,Apr,2016,2016,8.25,2471868
24,Shigatsu wa Kimi no Uso,TV,22,Oct,2014,2014,8.64,2434903
25,Boku no Hero Academia 3rd Season,TV,25,Apr,2018,2018,7.98,2390514
26,Toradora!,TV,25,Oct,2008,2008,8.04,2373466
27,Mob Psycho 100,TV,12,Jul,2016,2016,8.49,2329986
28,Noragami,TV,12,Jan,2014,2014,7.94,2322361
29,Boku dake ga Inai Machi,TV,12,Jan,2016,2016,8.30,2301436
30,Shingeki no Kyojin: The Final Season,TV,16,Dec,2020,2020,8.79,2300728
31,Akame ga Kill!,TV,24,Jul,2014,2014,7.48,2277194
32,Ansatsu Kyoushitsu,TV,22,Jan,2015,2015,8.07,2223595
33,Bleach,TV,366,Oct,2004,2004,8.00,2217430
34,Nanatsu no Taizai,TV,24,Oct,2014,2014,7.60,2216717
35,Angel Beats!,TV,13,Apr,2010,2010,8.05,2206522
36,Haikyuu!!,TV,25,Apr,2014,2014,8.43,2181120
37,Yakusoku no Neverland,TV,12,Jan,2019,2019,8.47,2161797
38,Kono Subarashii Sekai ni Shukufuku wo!,TV,10,Jan,2016,2016,8.09,2159494
39,Mirai Nikki (TV),TV,26,Oct,2011,2011,7.38,2142487
40,Sword Art Online II,TV,24,Jul,2014,2014,6.72,2117739
41,Cowboy Bebop,TV,26,Apr,1998,1998,8.75,2064041
42,Ao no Exorcist,TV,25,Apr,2011,2011,7.47,2058490
43,Kiseijuu: Sei no Kakuritsu,TV,24,Oct,2014,2014,8.32,2047216
44,Shinseiki Evangelion,TV,26,Oct,1995,1995,8.37,2037602
45,Sen to Chihiro no Kamikakushi,Movie,1,Jul,2001,2001,8.77,2034834
46,Violet Evergarden,TV,13,Jan,2018,2018,8.69,2006244
47,Chainsaw Man,TV,12,Oct,2022,2022,8.42,1980981
48,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,TV,13,Oct,2018,2018,8.23,1969138
49,Dr. Stone,TV,24,Jul,2019,2019,8.26,1966007
50,Code Geass: Hangyaku no Lelouch R2,TV,25,Apr,2008,2008,8.92,1962312
